Candidate,Target,Assignments,ProgramPath,ExecutionResult,Label,Accepted,Error,Prompt
11,T,"main:pkt:1=0
main:res:1=0
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase11.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
12,T,"main:pkt:1=1
main:res:1=9
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase12.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
13,T,"main:pkt:1=2
main:res:1=4
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase13.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
14,T,"main:pkt:1=9
main:res:1=1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase14.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
15,T,"main:pkt:1=6
main:res:1=2
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase15.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
16,T,"main:pkt:1=1
main:res:1=5
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase16.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 
Previous 15: main:pkt:1=6; main:res:1=2; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
17,T,"main:pkt:1=8
main:res:1=4
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase17.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 
Previous 15: main:pkt:1=6; main:res:1=2; 
Previous 16: main:pkt:1=1; main:res:1=5; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
18,T,"main:pkt:1=3
main:res:1=4
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase18.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 
Previous 15: main:pkt:1=6; main:res:1=2; 
Previous 16: main:pkt:1=1; main:res:1=5; 
Previous 17: main:pkt:1=8; main:res:1=4; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
19,T,"main:pkt:1=0
main:res:1=6
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase19.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 
Previous 15: main:pkt:1=6; main:res:1=2; 
Previous 16: main:pkt:1=1; main:res:1=5; 
Previous 17: main:pkt:1=8; main:res:1=4; 
Previous 18: main:pkt:1=3; main:res:1=4; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
20,T,"main:pkt:1=8
main:res:1=1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Missing_Initialization_1_T/input_generator_artifacts/generated_programs/Missing_Initialization_1_T_TestCase20.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:pkt:1, type: int
- id: main:res:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:pkt:1=0; main:res:1=1; 
Previous 2: main:pkt:1=10; main:res:1=2; 
Previous 3: main:pkt:1=5; main:res:1=3; 
Previous 4: main:pkt:1=10; main:res:1=0; 
Previous 5: main:pkt:1=7; main:res:1=1; 
Previous 6: main:pkt:1=4; main:res:1=2; 
Previous 7: main:pkt:1=3; main:res:1=0; 
Previous 8: main:pkt:1=9; main:res:1=0; 
Previous 9: main:pkt:1=2; main:res:1=8; 
Previous 10: main:pkt:1=10; main:res:1=5; 
Previous 11: main:pkt:1=0; main:res:1=0; 
Previous 12: main:pkt:1=1; main:res:1=9; 
Previous 13: main:pkt:1=2; main:res:1=4; 
Previous 14: main:pkt:1=9; main:res:1=1; 
Previous 15: main:pkt:1=6; main:res:1=2; 
Previous 16: main:pkt:1=1; main:res:1=5; 
Previous 17: main:pkt:1=8; main:res:1=4; 
Previous 18: main:pkt:1=3; main:res:1=4; 
Previous 19: main:pkt:1=0; main:res:1=6; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 407a3d94f566a68c7a862fcdac812bf53741af94
URL: https://github.com/FFmpeg/FFmpeg/commit/407a3d94f566a68c7a862fcdac812bf53741af94
Project Name: FFmpeg
License: LGPL-2.1
termination: TRUE
*/
int main()
{
    int res;
    int pkt = __VERIFIER_nondet_int();
    while( pkt < 10 )
    {
        res = 0;
        while( res == 0 )
        {
            res = __VERIFIER_nondet_int();
            pkt++;
            if( res == 0 )
                break;
        }
    }
    return 0;
}

"
